 13002.578389990 25     24957698.363     10062446  114  0  37
 13003.578389990 25     24962400.397     10087156 1109  0  37
 13006.578389990 25     24976506.375     10161298 2037  0  36
 13007.578389990 25     24981206.897     10186010 1135  0  36
 13009.578389990 25     24990608.320     10235435  604  1  36
 13010.578389990 25     24995310.215     10260147 1390  1  35
 13012.578389990 25     25004728.075     10309576 1700  1  34
 13016.578389990 25     25023524.345     10408420 1430  1  33
 13017.578389990 25     25028227.338     10433135  197  0  33
 13019.578389990 25     25037625.837     10482565  296  1  32
 13023.578389990 25     25056451.388     10581429   78  1  31
 13024.578389990 25     25061152.704     10606145 1075  1  32
 13025.578389990 25     25065856.847     10630861  928  1  33
 13026.578389990 23     23841079.131      1165860 1769  0  42
 13026.578389990 25     25070559.984     10655578  216  1  33
 13027.578389990 23     23845961.506      1191515  588  0  43
 13027.578389990 25     25075262.616     10680294  745  1  33
 13028.578389990 23     23850843.752      1217170  325  0  43
 13029.578389990 23     23855726.323      1242825  477  0  43
 13030.578389990 23     23860607.988      1268480  887  0  43
 13030.578389990 25     25089378.729     10754442  673  1  33
 13031.578389990 23     23865490.401      1294135 1659  0  43
 13032.578389990 23     23870372.730      1319791  237  0  43
 13032.578389990 25     25098775.519     10803869  847  1  33
 13033.578389990 23     23875254.892      1345446 1385  0  43
 13033.578389990 25     25103479.465     10828587 1411  1  33
 13034.578389990 23     23880136.841      1371102  494  0  43
 13034.578389990 25     25108183.982     10853305 1193  1  34
 13035.578389990 23     23885019.700      1396757 1442  0  43
 13035.578389990 25     25112888.802     10878023 1925  0  34
 13036.578389990 23     23889902.193      1422413  250  0  43
 13036.578389990 25     25117594.497     10902742  785  1  35
 13037.578389990 23     23894784.469      1448068 1851  0  43
 13037.578389990 25     25122299.705     10927461  562  1  35
 13038.578389990 23     23899666.432      1473724 1117  0  43
 13038.578389990 25     25127006.045     10952180  969  0  35
 13039.578389990 23     23904548.722      1499380  814  0  42
 13039.578389990 25     25131710.619     10976899  858  0  35
 13040.578389990 23     23909431.191      1525036  910  0  42
 13040.578389990 25     25136416.903     11001619  154  0  35
 13041.578389990 23     23914313.671      1550692  347  0  42
 13041.578389990 25     25141120.708     11026338  233  0  36
 13042.578389990 23     23919195.981      1576347 1545  0  42
 13042.578389990 25     25145825.303     11051057 1884  0  36
 13043.578389990 23     23924078.238      1602003  892  0  42
 13043.578389990 25     25150527.874     11075777  494  0  36
 13044.578389990 23     23928959.972      1627659  769  0  42
 13044.578389990 25     25155230.810     11100497  719  1  36
 13045.578389990 23     23933842.021      1653315  960  0  43
 13045.578389990 25     25159934.246     11125217  942  1  36
 13046.578389990 23     23938724.599      1678971 1454  0  43
 13046.578389990 25     25164637.949     11149937 1721  0  36
 13047.578389990 23     23943605.697      1704627 1422  0  43
 13047.578389990 25     25169341.958     11174658  670  0  36
 13048.578389990 23     23948488.261      1730283 1766  0  43
 13048.578389990 25     25174046.338     11199379  532  0  35
 13049.578389990 23     23953370.482      1755940  219  0  43
 13049.578389990 25     25178751.463     11224099 1979  1  35
 13050.578389990 23     23958252.084      1781596  979  0  43
 13050.578389990 25     25183455.952     11248821  195  0  35
 13051.578389990 23     23963134.668      1807252 1538  0  43
 13051.578389990 25     25188160.178     11273542  712  0  35
 13052.578389990 23     23968016.767      1832909  225  0  43
